DateOfAssignment_en,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_en,Status
Sin aplicación,0,0,Reservada,
Antes,1,1,iMet-1-BB (Estados Unidos),
Sin aplicación,2,2,Ausencia de radiosonda – objetivo pasivo (p. ej. reflector),
Sin aplicación,3,3,Ausencia de radiosonda – objetivo activo (p. ej. transpondedor),
Sin aplicación,4,4,Ausencia de radiosonda – perfilador pasivo de temperatura- humedad,
Sin aplicación,5,5,Ausencia de radiosonda – perfilador activo de temperatura- humedad,
Sin aplicación,6,6,Ausencia de radiosonda – sonda radioacústica,
Antes,7,7,iMet-1-AB (Estados Unidos),
Sin aplicación,8,8,Ausencia de radiosonda – . . . (reservada),
Sin aplicación,9,9,Ausencia de radiosonda – sistema desconocido o no especificado,
Antes,10,10,VIZ tipo A conmutado por presión (Estados Unidos),
Antes,11,11,VIZ tipo B conmutado por tiempo (Estados Unidos),
Antes,12,12,RS SDC (Space Data Corporation – Estados Unidos),
Antes,13,13,Astor (ya no se fabrica – Australia),
Antes,14,14,MICROSONDE VIZ MARK I (Estados Unidos),
Antes,15,15,EEC Company tipo 23 (Estados Unidos),
Antes,16,16,Elin (Austria),
Antes,17,17,GRAW G. (Alemania),
Antes,18,18,GRAW DFM-06 (Alemania),
Antes,19,19,GRAW M60 (Alemania),
Antes,20,20,MK3 del Servicio Meteorológico Indio (India),
Antes,21,21,MICROSONDE VIZ/Jin Yang MARK I (República de Corea),
Antes,22,22,Meisei RS2-80 (Japón),
Antes,23,23,Mesural FMO 1950A (Francia),
Antes,24,24,Mesural FMO 1945A (Francia),
Antes,25,25,Mesural MH73A (Francia),
Antes,26,26,Meteolabor Basora (Suiza),
Antes,27,27,AVK-MRZ (Federación de Rusia),
Antes,28,28,Meteorit Marz2-1 (Federación de Rusia),
Antes,29,29,Meteorit Marz2-2 (Federación de Rusia),
Antes,30,30,Oki RS2-80 (Japón),
Antes,31,31,VIZ/Valcom tipo A conmutado por presión (Canadá),
Antes,32,32,Shanghai Radio (China),
Antes,33,33,MK3 del Servicio Meteorológico del Reino Unido (Reino Unido),
Antes,34,34,Vinohrady (Chequia),
Antes,35,35,Vaisala RS18 (Finlandia),
Antes,36,36,Vaisala RS21 (Finlandia),
Antes,37,37,Vaisala RS80 (Finlandia),
Antes,38,38,VIZ LOCATE Loran-C (Estados Unidos),
Antes,39,39,Sprenger E076 (Alemania),
Antes,40,40,Sprenger E084 (Alemania),
Antes,41,41,Sprenger E085 (Alemania),
Antes,42,42,Sprenger E086 (Alemania),
Antes,43,43,AIR IS – 4A – 1680 (Estados Unidos),
Antes,44,44,AIR IS – 4A – 1680 X (Estados Unidos),
Antes,45,45,RS MSS (Estados Unidos),
Antes,46,46,AIR IS – 4A – 403 (Estados Unidos),
Antes,47,47,Meisei RS2-91 (Japón),
Antes,48,48,VALCOM (Canadá),
Antes,49,49,VIZ MARK II (Estados Unidos),
Antes,50,50,GRAW DFM-90 (Alemania),
Antes,51,51,VIZ–B2 ( Estados Unidos),
Antes,52,52,Vaisala RS80-57H,
Antes,53,53,AVK-RF95 (Federación de Rusia),
Antes,54,54,GRAW DFM-97 (Alemania),
Antes,55,55,Meisei RS-01G (Japón),
Antes,56,56,M2K2 (Francia),
Antes,57,57,M2K2 (Francia),
Antes,58,58,AVK-BAR (Federación de Rusia),
Antes,59,59,Radiosonda módem M2K2-R 1680 MHz RDF con chip sensor de presión (Francia),
Antes,60,60,Vaisala RS80/MicroCora (Finlandia),
Antes,61,61,"Vaisala RS80/Loran/DigiCora I, II o Marwin (Finlandia)",
Antes,62,62,Vaisala RS80/PCCora (Finlandia),
Antes,63,63,Vaisala RS80/Star (Finlandia),
Antes,64,64,"Orbital Sciences Corporation, División de datos espaciales, radiosonda transpondedora, tipo 909-11-XX, donde XX corresponde al modelo del instrumento (Estados Unidos)",
Antes,65,65,"Radiosonda transpondedora VIZ, modelo número 1499-520 (Estados Unidos)",
Antes,66,66,Vaisala RS80/Autosonde (Finlandia),
Antes,67,67,Vaisala RS80/DigiCora III (Finlandia),
Antes,68,68,AVK-RZM-2 (Federación de Rusia),
Antes,69,69,MARL-A o Vektor M-RZM-2 (Federación de Rusia),
Antes,70,70,Vaisala RS92/Star (Finlandia),
Antes,71,71,"Vaisala RS90/Loran/DigiCora I, II o Marwin (Finlandia)",
Antes,72,72,Vaisala RS90/PC–Cora (Finlandia),
Antes,73,73,Vaisala RS90/Autosonde (Finlandia),
Antes,74,74,Vaisala RS90/Star (Finlandia),
Antes,75,75,AVK-MRZ-ARMA (Federación de Rusia),
Antes,76,76,AVK-RF95-ARMA (Federación de Rusia),
Antes,77,77,GEOLINK GPSonde GL98 (Francia),
Antes,78,78,Vaisala RS90/DigiCora III (Finlandia),
Antes,79,79,"Vaisala RS92/Digicora I, II o Marwin (Finlandia)",
