CodeFigure,UnitType,Meaning,conventional,IA5-ASCII,ITA2,SIDefinition,Note,NoteID,Status
,Unidades básicas SI (1),,,,,,,,Operational
1,,metro,m,m,M,,,,Operational
2,,kilogramo,kg,kg,KG,,,,Operational
3,,segundo,s,s,S,,,,Operational
4,,amperio,A,A,A,,,,Operational
5,,kelvin,K,K,K,,,,Operational
6,,mol,mol,mol,MOL,,,,Operational
7,,candela,cd,cd,CD,,,,Operational
,Unidades SI suplementarias (1),,,,,,,,Operational
21,,radián,rad,rad,RAD,,,,Operational
22,,estereorradián,sr,sr,SR,,,,Operational
,Unidades SI derivadas con nombres especiales (1),,,,,,,,Operational
30,,hertzio,Hz,Hz,HZ,,,,Operational
31,,newton,N,N,N,,,,Operational
32,,pascal,Pa,Pa,PAL,,,,Operational
33,,julio,J,J,J,,,,Operational
34,,vatio,W,W,W,,,,Operational
35,,culombio,C,C,C,,,,Operational
36,,voltio,V,V,V,,,,Operational
37,,faradio,F,F,F,,,,Operational
38,,ohmio,Ω,Ohm,OHM,,,,Operational
39,,simensio,S,S,SIE,,,,Operational
40,,weberio,Wb,Wb,WB,,,,Operational
41,,tesla,T,T,T,,,,Operational
42,,henrio,H,H,H,,,,Operational
60,,grado Celsius,°C,Cel,CEL,,,,Operational
70,,lumen,lm,lm,LM,,,,Operational
71,,lux,lx,lx,LX,,,,Operational
80,,becquerel,Bq,Bq,BQ,,,,Operational
81,,grey,Gy,Gy,GY,,,,Operational
82,,sievert,Sv,Sv,SV,,,,Operational
,Prefijos de unidades SI (1) (3) (4),,,,,,,,Operational
no,,(yotta),(Y),(Y),(Y),,,,Operational
no,,(zetta),(Z),(Z),(Z),,,,Operational
no,,exa,E,E,E,,,,Operational
no,,peta,P,P,PE,,,,Operational
no,,tera,T,T,T,,,,Operational
no,,giga,G,G,G,,,,Operational
no,,mega,M,M,MA,,,,Operational
no,,kilo,k,k,K,,,,Operational
no,,hecto,h,h,H,,,,Operational
no,,deca,da,da,DA,,,,Operational
no,,deci,d,d,D,,,,Operational
no,,centi,c,c,C,,,,Operational
no,,mili,m,m,M,,,,Operational
no,,micro,µ,u,U,,,,Operational
no,,nano,n,n,N,,,,Operational
no,,pico,p,p,P,,,,Operational
no,,femto,f,f,F,,,,Operational
no,,atto,a,a,A,,,,Operational
no,,(zepto),(z),(z),,,,,Operational
no,,(yocto),(y),(y),,,,,Operational
