Code,Agency_en,Type_en,InstrumentShortName_en,InstrumentLongName_en,Status
10,BNSC,Radiómetro,AATSR,Radiómetro de exploración por pista avanzado,
11,BNSC,Radiómetro,ATSR,Radiómetro de exploración por pista,
12,BNSC,Radiómetro,ATSR-2,Radiómetro de exploración por pista-2,
13,BNSC,Radiómetro,MWR,Radiómetro de microondas,
30,CNES,Comunicaciones,ARGOS,,
40,CNES,Lidar,Reflectores láser,,
41,CNES,Lidar,DORIS,Orbitografía Doppler y posicionamiento por radio integrados por satélite,
42,CNES,Lidar,DORIS-NG,Orbitografía Doppler y posicionamiento por radio integrados por satélite-NG,
47,CNES,Altímetro de radar,POSEIDON-1 (SSALT1),Navegador orbital de posicionamiento para,
98,CRCSS,Sonda para la temperaturaReceptor GPS y humedad atmosféricas,,,
102,DLR,Radiómetro                      Sonda SPM CHAMP,,Receptor espacial TurboRogue SPM (TRSR),
103,DLR,Radiómetro                      IGOR,,GPS integrado y receptor de ocultación,
116,DLR,"Magnetómetro                  Equipo de gravedad CHAMP
(Acelerómetro+SPM)",,Acelerómetro STAR,
117,DLR,Magnetómetro                  Equipo de,,Magnetómetro Overhauser (OVM) y,
120,AEE,Comunicaciones,Coms. ENVISAT,Paquete de comunicaciones en ENVISAT,
121,AEE,Comunicaciones,Coms. ERS,Paquete de comunicaciones para ERS,
130,AEE,Lidar,ALADIN,Instrumento lasérico Doppler para la investigación de la atmósfera,
131,AEE,Lidar,ATLID,Lidar atmosférico,
140,AEE,Radar,AMI/SAR/Imagen,Instrumentación de microondas activa. Modo imagen,
141,AEE,Radar,AMI/SAR/onda,Instrumentación de microondas activa. Modo ondas,
142,AEE,Radar,AMI/dispersómetro,Instrumentación de microondas activa. Modo viento,
143,AEE,Radar,ASAR,ASAR,
144,AEE,Radar de producción de imágenes por microondas,ASAR,Radar avanzado de apertura sintética (modo de imagen),
145,AEE,Radar de producción de imágenes por microondas,ASAR,Radar avanzado de apertura sintética (modo de onda),
146,AEE,Radar de perfil de las nubes y lluvia,CPR,Radar de nubes,
147,AEE,Radar,RA-2/MWR,Altímetro de radar – 2,
148,AEE,Radar,RA/MWR,Altímetro de radar,
150,AEE,Dispersómetro,SCATTEROMETER,Dispersómetro,
151,AEE,Radar de formación,SAR-C,Radar de apertura sintética (banda C),
152,AEE,Exploración a través del nadir,SW,Sonda de vigilancia troposférica TROPOMI,
161,AEE,Radiómetro,MIPAS,Sonda atmosférica pasiva por interferometría Michelson,
162,AEE,Radiómetro productor de imágenes multiespectrales (microondas pasivo),MWR-2,Radiómetro de microondas-2,
163,AEE,Instrumentos para el estudio de la química atmosférica,SOPRANO,Observación submilimétrica de los procesos en la absorción de importancia para el ozono,
170,AEE,Instrumentos para el estudio de la química atmosférica,GOME,Experimento de vigilancia del ozono mundial,
172,AEE,Espectrómetro,GOMOS,Vigilancia del ozono mundial por ocultación de estrellas,
174,AEE,Espectrómetro,MERIS,Espectrómetro de imagenización de resolución media,
175,AEE,Espectrómetro,SCIAMACHY,Espectrómetro de absorción de imagenización mediante exploración para cartografía de la atmósfera,
176,ESA,Radiómetro,MIRAS,Radiómetro de microondas formador de imágenes con síntesis de apertura,
177,ESA,Altímetro de radar,SIRAL,SAR/altímetro de radar interferométrico,
178,ESA,Altímetro de radar,SRAL,Altímetro de radar de apertura sintética,
179,ESA,Productor de imágenes ópticas de resolución media,OLCI,Productor de imágenes en color oceánicas y terrestres,
180,ESA,Productor de imágenes ópticas de resolución media,SLSTR,Radiómetro de temperaturas en los océanos y la superficie terrestre,
181,EUMETSAT,Comunicaciones,Coms. METEOSAT,Paquete de comunicaciones para METEOSAT,
182,EUMETSAT,Comunicaciones,Coms. MSG,Paquete de comunicaciones para MSG,
190,AEE/ EUMETSAT,Dispersómetro,ASCAT,Dispersómetro avanzado,
200,EUMETSAT,Radiómetro,GERB,Balance geoestacionario de radiación terrena,
202,AEE/ EUMETSAT,Radiómetro,GRAS,Receptor GNSS para sondeo atmosférico,
203,EUMETSAT,Radiómetro,MHS,Sonda de humedad por microondas,
205,EUMETSAT,Radiómetro,MVIRI,Reproductor de imágenes visible e infrarrojo METEOSAT,
207,EUMETSAT,Radiómetro,SEVIRI,Reproductor de imágenes visible e infrarrojo mejorado rotatorio,
208,EUMETSAT,Radiómetro productor de imágenes multiespectrales (vis/IR),VIRI,VIRI,
220,AEE/ EUMETSAT,Espectrómetro,GOME-2,Experimento de vigilancia del ozono mundial – 2,
221,CNES/ EUMETSAT,Sonda para la temperaturaIASI y humedad atmosféricas,,Interferómetro de sondeo atmosférico infrarrojo,
240,CAST,Comunicaciones                DCP,,Transpondedor de plataforma de recopilación de datos,
245,CAST,Radiómetro                      CCD,,Cámara CCD de alta resolución,
246,INPE,Sonda para la temperaturaHSB y humedad atmosféricas,,Sonda de humedad/Brasil,
248,INPE,"Radiómetro productor       OBA de imágenes
multiespectrales (vis/IR)",,Observador Brasileiro da Amazonia,
250,CAST,Radiómetro                      WFI,,Reproductor de imágenes de campo extenso,
255,CAST,Espectrómetro                  IRMSS,,Explorador multiespectral infrarrojo,
260,ISRO,"Órbita de precisión            Transpondedores BSS y
FSS",,,
261,ISRO,Órbita de precisión            DRT-S&R,,,
262,ISRO,Comunicaciones                Coms. INSAT,,Paquete de comunicaciones para INSAT,
268,ISRO,Productor de imágenes      HR-PAN ópticas de alta resolución,,Cámara pancromática de alta resolución,
269,ISRO,"Radiómetro productor       MSMR de imágenes
multiespectrales",,Radiómetro de microondas por exploración multifrecuencias (microondas pasivo),
270,ISRO,"Radiómetro productor       VHRR de imágenes
multiespectrales (vis/IR)",,Radiómetro de muy alta resolución,
271,ISRO,"Radiómetro productor       WiFS tor de imágenes
multiespectrales (vis/IR)",,Sensor de campo extenso,
275,ISRO,Productor de imágenes      AWiFS ópticas de alta resolución,,Sensor de campo extenso avanzado,
276,ISRO,Productor de imágenes      LISS-I ópticas de alta resolución,,Autoexplorador de imagenización lineal – I,
277,ISRO,Productor de imágenes      LISS-II ópticas de alta resolución,,Autoexplorador de imagenización lineal – II,
278,ISRO,Productor de imágenes      LISS-III ópticas de alta resolución,,Autoexplorador de imagenización lineal – III,
279,ISRO,Productor de imágenes ópticas de alta resolución,LISS-IV,Autoexplorador de imagenización lineal – IV,
284,ISRO,Productor de imágenes ópticas de alta resolución,PAN,Sensor pancromático,
285,ISRO,Radiómetro productor de imágenes multi- espectrales (vis/IR),MOS,Explorador optoelectrónico modular,
286,ISRO,Instrumento en color para el océano,OCM,Monitor en color para el océano,
287,ASI,,ROSA,Sonda atmosférica por radio ocultación,
288,ISRO,Dispoersómetro,SCAT,Dispersómetro,
289,ISRO,Reproductor de imágenes óptico,IMG,Reproductor de imágenes,
290,JMA,Comunicaciones,MTSAT Comms,Paquete de comunicaciones para MTSAT,
291,JMA,Comunicaciones,Himawari Comms,Paquete de comunicaciones para Himawari,
294,JMA,Radiómetro multiespectral productor de imágenes,JAMI,Reproductor japonés avanzado de imágenes meteorológicas,
295,JMA,Radiómetro multiespectral productor de imágenes,IMAGER/MTSAT-2,Reproductor de imágenes/MTSAT-2,
296,JMA,Radiómetro multiespectral productor de imágenes,VISSR (GMS4),Radiómetro de exploración visible e infrarrojo rotatorio (GMS4),
297,JMA,Radiómetro multiespectral productor de imágenes,AHI,Reproductor avanzado de imágenes Himawari,
300,NASA,Lidar,GLAS,Sistema de altímetro por láser para ciencias de la Tierra,
301,NASA,Órbita de precisión,LRA,Formación de retrorreflectores láser,
302,NASA,Lidar,MBLA,Altímetro láser de haz múltiple,
303,NASA,Lidar,CALIOP,Lidar de aerosoles de nube con polarización ortogonal,
309,NASA,Radar de perfil de las nubes y lluvia,CPR (Cloudsat),Radar perfilador de nubes,
312,NASA,Radar,NSCAT,Dispersómetro NASA,
313,NASA,Radar,SeaWinds,Dispersómetro ADEOS II – NASA,
314,NASA,Radar,RapidScat,Dispersómetro RapidScat,
330,NASA,Radiómetro del balance de radiaciónde la Tierra,ACRIM,Monitor de irradiancia por radiómetro de cavidad activa,
334,NASA,Ozono total y perfil del ozono,BUV,Instrumento ultravioleta de retrodispersión,
