CommonCodeTable,Title_es,Applicable_es,Status
0.00,"Número de versión de la tabla maestra de GRIB, BUFR y CREX",Octeto 10 de la sección 1 de GRIB edición 2,Operational
0.00,"Número de versión de la tabla maestra de GRIB, BUFR y CREX",Octeto 14 de la sección 1 de BUFR edición 4,Operational
0.00,"Número de versión de la tabla maestra de GRIB, BUFR y CREX",vv y bb en el grupo Nº 1 de la sección 1 de CREX edición 2,Operational
1.00,Identificación del centro de origen/generación,F1F2 para las claves alfanuméricas,Operational
1.00,Identificación del centro de origen/generación,F3F3F3 para las claves alfanuméricas,Operational
1.00,Identificación del centro de origen/generación,Tabla de cifrado 0 en GRIB edición 1/Tabla de cifrado 0 01 033 en BUFR,Operational
1.00,Identificación del centro de origen/generación,Octeto 5 en la Sección 1 de GRIB edición 1/Octeto 6 en la Sección 1 de BUFR edición 3,Operational
2.00,Radiosonda/sistema de sondeo utilizado,Tabla de cifrado 3685 rara (Radiosonda/sistema de sondeo utilizado) para las claves alfanuméricas,Operational
2.00,Radiosonda/sistema de sondeo utilizado,Tabla de cifrado 0 02 011 (Tipo de radiosonda) de la clave BUFR,Operational
3.00,Marca y tipo de instrumento para la medición del perfil de la temperatura del agua con coeficientes de ecuación del índice de caída,Tabla de cifrado 1770 — IxIxIx (Tipo de instrumento para XBT con coeficientes de ecuación del índice de caída) para claves alfanuméricas,Operational
3.00,Marca y tipo de instrumento para la medición del perfil de la temperatura del agua con coeficientes de ecuación del índice de caída,Tabla de cifrado 0 22 067 (Tipo de instrumento para la medición del perfil de la temperatura del agua) en BUFR,Operational
4.00,Tipo de registrador del perfil de la temperatura del agua,Tabla de cifrado 4770 - XRXR (Tipo de registrador) para las claves alfanuméricas,Operational
4.00,Tipo de registrador del perfil de la temperatura del agua,Tabla de cifrado 0 22 068 (Tipo de registrador del perfil de la temperatura del agua) en BUFR,Operational
5.00,Identificador del satélite,161616 para claves alfanuméricas,Operational
5.00,Identificador del satélite,Tabla de cifrado 0 01 007 en BUFR,Operational
5.00,Identificador del satélite,Clave utilizada en GRIB edición 2,Operational
6.00,Lista de unidades para claves determinadas por tablas,"(Utilizada únicamente en el volumen I.2, partes B y C)",Operational
7.00,Técnica de seguimiento/situación del sistema utilizado,Tabla de cifrado 3872 - SaSa para las claves alfanuméricas,Operational
7.00,Técnica de seguimiento/situación del sistema utilizado,Tabla de cifrado 0 02 014 en BUFR,Operational
8.00,Instrumentos de satélite,Tabla de cifrado 0 02 019 en BUFR,Operational
11.00,Centros de origen/generación,BUFR 0 01 035,Operational
11.00,Centros de origen/generación,"CREX edición 2, ooooo en Grupo Poooooppp en Sección 1",Operational
11.00,Centros de origen/generación,"GRIB edición 2, octetos 6-7 en Sección 1",Operational
11.00,Centros de origen/generación,"BUFR edición 4, octetos 5–6 en Sección 1",Operational
12.00,Centros secundarios de los centros de origen definidos por entradas en las Tablas de cifrado común C-1 ο C-11,BUFR 0 01 034,Operational
12.00,Centros secundarios de los centros de origen definidos por entradas en las Tablas de cifrado común C-1 ο C-11,"BUFR edición 3, octeto 5 en Sección 1",Operational
12.00,Centros secundarios de los centros de origen definidos por entradas en las Tablas de cifrado común C-1 ο C-11,"BUFR edición 4, octetos 7-8 en Sección 1",Operational
12.00,Centros secundarios de los centros de origen definidos por entradas en las Tablas de cifrado común C-1 ο C-11,"GRIB edición 1, octeto 26 en Sección 1",Operational
12.00,Centros secundarios de los centros de origen definidos por entradas en las Tablas de cifrado común C-1 ο C-11,"GRIB edición 2, octetos 8-9 en Sección 1",Operational
12.00,Centros secundarios de los centros de origen definidos por entradas en las Tablas de cifrado común C-1 ο C-11,"CREX edición 2, pp en Grupo Poooooppp en Sección 1",Operational
13.00,Subcategorías de datos de las categorías definidas mediante entradas de la Tabla A de la clave BUFR,"BUFR edición 4, octeto 12 en Sección 1 (si = 255, significa otra subcategoría o no definido)",Operational
13.00,Subcategorías de datos de las categorías definidas mediante entradas de la Tabla A de la clave BUFR,"CREX edición 2, mmm en Grupo Annnmmm en Sección 1",Operational
14.00,Tipo de componente químico o físico atmosférico,Tabla de cifrado 4.230 de GRIB 2,Operational
14.00,Tipo de componente químico o físico atmosférico,Tabla de cifrado 008 046 en BUFR,Operational
